Input Name,SymPy F5B Time (sec),CP GPU Time (sec),SP GPU Time (sec),CP+SP GPU Time (sec),Number of Variables,Number of Polynomials,Max Degree
cyclic_affine_3,0.0008525848388671875,0.0006973743438720703,0.0006561279296875,0.0006620883941650391,3,3,1
cyclic_affine_4,0.012272834777832031,1.011601448059082,0.1329653263092041,0.007938385009765625,4,4,1
katsura_affine_4,0.013625383377075195,0.04453301429748535,0.009325742721557617,0.00910639762878418,4,4,2
eco_affine_4,0.007962703704833984,0.022701501846313477,0.006311178207397461,0.00588679313659668,4,4,1
caprasse,35.770347356796265,0.15078997611999512,0.015949726104736328,0.015920162200927734,4,4,3
cyclic_affine_5,2.8302624225616455,0.1717374324798584,0.030414104461669922,0.030130863189697266,5,5,1
katsura_affine_5,0.12610173225402832,0.15526700019836426,0.030333280563354492,0.029988765716552734,5,5,2
eco_affine_5,0.06437993049621582,0.04700040817260742,0.013157129287719727,0.01287698745727539,5,5,1
chandra_5,0.26679491996765137,0.2370743751525879,0.02381443977355957,0.023822307586669922,5,5,2
chemequs_5,2.611840009689331,0.1502683162689209,0.02715277671813965,0.026982784271240234,5,5,2
camera1s,5.405092000961304,0.96781325340271,0.05955195426940918,0.05946540832519531,6,6,1
original_cyc_4_4_2,0.5081484317779541,0.5340747833251953,0.538243293762207,0.5305454730987549,8,8,2
comb3000s,0.14722466468811035,0.39867424964904785,0.07690739631652832,0.07643246650695801,10,10,2
