Input Name,SymPy F5B Time (sec),CP GPU Time (sec),SP GPU Time (sec),CP+SP GPU Time (sec),Number of Variables,Number of Polynomials,Max Degree,Matching Results
cyclic_affine_3,0.0012233257293701172,0.0009517669677734375,0.0008661746978759766,0.0008180141448974609,3,3,1,True
cyclic_affine_4,0.014323949813842773,0.43706607818603516,0.16440415382385254,0.006166934967041016,4,4,1,False
katsura_affine_4,0.01696610450744629,0.03654599189758301,0.009453058242797852,0.009115934371948242,4,4,2,False
eco_affine_4,0.012399911880493164,0.05913901329040527,0.005858898162841797,0.0048410892486572266,4,4,1,False
caprasse,41.199198961257935,71.32602596282959,0.02395319938659668,0.026286840438842773,4,4,3,False
cyclic_affine_5,3.2225682735443115,14.236898183822632,0.032392024993896484,0.03191494941711426,5,5,1,False
katsura_affine_5,0.15493988990783691,0.08786511421203613,0.031136751174926758,0.030736207962036133,5,5,2,False
eco_affine_5,0.07623291015625,0.2909259796142578,0.011451005935668945,0.011537790298461914,5,5,1,False
chandra_5,0.3001289367675781,1.476567029953003,0.01984405517578125,0.01891183853149414,5,5,2,False
chemequs_5,2.9893219470977783,4.875320196151733,0.02828073501586914,0.024786949157714844,5,5,2,False
camera1s,6.227512836456299,384.3156678676605,0.0814518928527832,0.07737278938293457,6,6,1,False
original_cyc_4_4_2,0.5852649211883545,0.9380919933319092,0.5839221477508545,0.6005539894104004,8,8,2,False
comb3000s,0.17915797233581543,0.4358561038970947,0.08661198616027832,0.08047604560852051,10,10,2,False
